Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
251,Chris Henry\HenrCh00,CIN,WR,26,8,0,0,0,0,0,0,0,0,,0,23,12,236,19.67,2,,,36,48,50.6,41.6,,99,
252,Rashad Jennings\JennRa00,JAX,RB,24,15,0,0,0,0,0,0,39,202,5.18,1,18,16,101,6.31,0,,,36,52,58.3,44.3,,76,
253,LenDale White\WhitLe01,TEN,RB,25,13,0,0,0,0,0,0,64,222,3.47,2,5,3,14,4.67,0,,,36,38,41.1,36.1,,78,
254,Daniel Graham\GrahDa00,DEN,TE,31,16,14,0,0,0,0,0,0,0,,0,43,28,289,10.32,1,,,35,63,65.9,48.9,,34,
255,Spencer Havner\HavnSp00,GNB,TE,26,16,1,0,0,0,0,0,0,0,,0,10,7,112,16.00,4,,,35,42,45.2,38.7,,33,
256,Malcolm Kelly\KellMa01,WAS,WR,23,16,10,0,0,0,0,0,0,0,,0,41,25,347,13.88,0,,,35,60,62.7,47.2,,101,
257,Josh Reed\ReedJo01,BUF,WR,29,14,4,0,0,0,0,0,0,0,,0,45,27,291,10.78,1,,,35,59,63.6,45.6,,100,
258,Eddie Royal\RoyaEd00,DEN,WR,23,14,12,0,0,0,0,0,1,1,1.00,0,79,37,345,9.32,0,,,35,83,86.1,64.1,,102,
259,Chris Jennings\JennCh00,CLE,RB,24,9,1,0,0,0,0,0,63,220,3.49,1,13,9,56,6.22,0,,,34,43,45.6,38.1,,79,
260,Byron Leftwich\LeftBy00,TAM,QB,29,3,3,58,107,594,4,3,6,6,1.00,0,0,0,0,,0,,,34,32,39.4,35.4,,45,
261,Zach Miller\MillZa02,JAX,TE,25,14,0,0,0,0,0,0,1,3,3.00,0,27,21,212,10.10,2,,,34,55,57.5,44.0,,35,
262,Brad Smith\SmitBr01,NYJ,WR,26,13,2,1,1,27,0,0,18,207,11.50,1,12,7,63,9.00,0,,,34,47,50.1,43.6,,103,
263,Donald Lee\LeexDo00,GNB,TE,29,16,10,0,0,0,0,0,0,0,,0,54,37,260,7.03,1,,,32,69,72.0,50.5,,36,
264,Brian Leonard\LeonBr00,CIN,RB,25,14,1,0,0,0,0,0,27,84,3.11,0,35,30,217,7.23,0,1,,32,61,64.6,46.1,,80,
265,Michael Clayton\ClayMi00,TAM,WR,27,13,11,0,1,0,0,0,0,0,,0,48,16,230,14.38,1,1,,31,47,50.0,39.0,,104,
266,Mike Sellers\SellMi00,WAS,RB,34,15,7,0,0,0,0,0,0,0,,0,26,17,176,10.35,2,,,30,46,49.1,37.1,,81,
267,Lynell Hamilton\HamiLy20,NOR,RB,24,9,1,0,0,0,0,0,35,125,3.57,2,7,5,48,9.60,0,,,29,34,37.3,31.8,,82,
268,Lance Moore\MoorLa00,NOR,WR,26,7,0,0,0,0,0,0,0,0,,0,19,14,153,10.93,2,,,29,41,44.3,34.3,,105,
269,Michael Vick\VickMi00,PHI,QB,29,12,1,6,13,86,1,0,24,95,3.96,2,0,0,0,,0,,,29,29,28.9,28.9,,46,
